Radnik,Pon,Uto,Sri,Cet,Pet,Sub,Ned,Tjedan_U_Godini,Godina
31129,233,O,168,169,171,530,695,19,2024
31131,247,247,247,247,247,542,O,19,2024
31137,238,238,238,238,238,O,717,19,2024
31138,195,195,195,195,195,O,O,19,2024
31143,313,313,313,313,313,O,747,19,2024
31144,I-GO,I-GO,I-GO,70,68,451,627,19,2024
31147,273,273,273,275,275,Oz,O,19,2024
31148,290,275,275,O,276,591,751,19,2024
31149,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31152,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31157,211,211,211,O,240,596,O,19,2024
31158,224,224,224,O,O,524,524,19,2024
31159,58,53,53,I-DK,I-DK,O,O,19,2024
31163,257,Oz,257,257,257,562,O,19,2024
31164,73,73,73,73,O,434,669,19,2024
31165,284,290,O,287,255,585,774,19,2024
31169,162,185,O,192,197,510,O,19,2024
31170,116,103,142,78,78,Oz,Oz,19,2024
31173,855,855,855,O-LR,855,O,O,19,2024
31175,16,16,16,16,16,Oz,Oz,19,2024
31176,59,I-DK,I-DK,59,59,59,O,19,2024
31177,I-GO,I-GO,I-GO,I-GO,I-GO,552,744,19,2024
31178,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31179,255,279,284,288,293,O,Oz,19,2024
31181,317,317,311,311,O,568,Oz,19,2024
31183,I-GO,382,382,382,382,O,O,19,2024
31184,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31185,860,860,860,860,860,O,O,19,2024
31186,263,263,263,263,O,557,O,19,2024
31187,351,351,351,351,351,O,784,19,2024
31188,I-GO,105,337,248,340,614,780,19,2024
31189,I-GO,I-GO,I-GO,I-GO,I-GO,485,694,19,2024
31192,150,150,152,152,150,O,Oz,19,2024
31193,Oz,221,221,11,11,465,Oz,19,2024
31194,266,323,323,323,Oz,Oz,769,19,2024
31196,168,168,234,234,234,531,O,19,2024
31198,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,19,2024
31199,262,261,262,262,262,O,745,19,2024
31200,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31202,I-GO,I-GO,I-GO,I-GO,317,590,775,19,2024
31203,85,85,85,85,O,449,449,19,2024
31204,231,231,231,231,Oz,Oz,885,19,2024
31206,79,79,79,378,O,79,647,19,2024
31207,293,311,317,317,342,292,O,19,2024
31208,152,152,150,150,222,475,O,19,2024
31211,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,19,2024
31213,164,164,162,O,164,479,O,19,2024
31215,314,O,314,314,314,589,O,19,2024
31216,288,288,288,O,288,288,O,19,2024
31218,106,102,O,106,106,797,O,19,2024
31220,41,39,58,58,O,405,656,19,2024
31221,32,32,32,O,107,421,634,19,2024
31223,67,14,88,10,O,409,637,19,2024
31224,167,Oz,239,171,213,483,O,19,2024
31228,863,863,863,863,863,O,O,19,2024
31229,169,171,171,213,233,Oz,Oz,19,2024
31232,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,19,2024
31234,274,274,274,274,274,Oz,Oz,19,2024
31236,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31242,345,Oz,340,340,339,551,767,19,2024
31244,130,134,13,130,13,O,O,19,2024
31245,I-DK,293,293,298,263,579,O,19,2024
31248,194,190,163,221,115,Oz,Oz,19,2024
31249,198,200,201,201,191,193,O,19,2024
31250,214,214,214,214,214,Oz,Oz,19,2024
31251,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31252,378,378,166,166,114,447,O,19,2024
31253,I-GO,I-GO,I-GO,I-GO,43,377,660,19,2024
31255,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31259,52,2,59,25,378,O,665,19,2024
31260,304,283,283,304,O,Oz,887,19,2024
31261,142,142,106,142,142,Oz,Oz,19,2024
31262,30,30,30,30,123,Oz,Oz,19,2024
31263,70,46,37,51,79,404,Oz,19,2024
31267,83,83,83,83,83,Oz,O,19,2024
31269,160,160,160,160,160,478,O,19,2024
31270,I-GO,I-GO,I-GO,177,177,491,701,19,2024
31271,306,266,267,302,302,598,O,19,2024
31277,96,93,90,133,I-DK,O,O,19,2024
31278,14,50,Oz,O,54,425,629,19,2024
31279,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31286,270,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31287,261,265,O,261,261,583,O,19,2024
31288,859,859,859,859,859,523,O,19,2024
31289,72,116,880,O,44,Oz,O,19,2024
31290,877,O,877,92,17,416,883,19,2024
31292,91,91,91,93,93,O,663,19,2024
31293,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31294,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31295,I-GO,I-GO,I-GO,I-GO,304,602,778,19,2024
31298,172,172,172,172,172,O,730,19,2024
31300,80,80,I-BO,80,80,Oz,O,19,2024
31301,46,47,47,47,47,47,O,19,2024
31302,318,318,882,255,O,526,752,19,2024
31303,881,255,344,881,I-GO,Og,Og,19,2024
31308,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,19,2024
31309,291,O,255,277,258,Oz,Oz,19,2024
31311,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31314,338,338,338,O,338,569,O,19,2024
31315,65,65,65,65,65,O,638,19,2024
31316,1,O,70,81,81,468,O,19,2024
31319,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31320,165,165,165,165,165,O,691,19,2024
31323,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31324,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31325,54,O,80,12,73,471,O,19,2024
31327,199,Oz,199,199,199,504,O,19,2024
31328,O,189,188,I-DK,I-DK,501,712,19,2024
31331,381,374,374,373,375,Oz,Oz,19,2024
31332,355,355,355,355,355,O,613,19,2024
31333,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31336,328,277,O,324,324,881,888,19,2024
31337,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31338,229,226,226,O,228,Oz,Oz,19,2024
31339,115,133,11,115,34,452,O,19,2024
31342,190,197,197,204,221,Oz,Oz,19,2024
31343,218,216,218,218,218,O,721,19,2024
31344,260,260,260,O,260,554,O,19,2024
31347,95,64,22,18,18,O,O,19,2024
31348,264,340,265,265,265,O,766,19,2024
31349,68,68,60,Oz,60,437,O,19,2024
31350,Oz,882,881,Oz,323,582,728,19,2024
31352,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31353,89,89,96,96,O,459,678,19,2024
31354,81,81,81,15,15,408,O,19,2024
31355,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,19,2024
31356,I-GO,I-GO,I-GO,216,244,539,733,19,2024
31357,382,382,382,382,382,O,O,19,2024
31359,144,144,144,144,144,O,O,19,2024
31360,188,O,191,191,189,506,719,19,2024
31361,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31367,182,O,182,245,182,495,O,19,2024
31370,298,298,298,O,298,298,765,19,2024
31371,319,319,319,319,319,O,O,19,2024
31372,131,131,131,131,131,O,O,19,2024
31373,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31375,880,236,235,O,879,537,729,19,2024
31377,133,13,133,13,133,O,O,19,2024
31378,56,54,56,53,10,O,682,19,2024
31379,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31380,310,316,O,337,882,592,770,19,2024
31381,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,19,2024
31382,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31383,40,56,46,60,61,442,O,19,2024
31385,395,395,395,395,395,Oz,Oz,19,2024
31386,316,257,334,331,334,882,O,19,2024
31387,184,183,184,184,184,Oz,686,19,2024
31390,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31391,307,334,276,276,307,556,O,19,2024
31392,281,280,280,280,O,525,525,19,2024
31393,Oz,Oz,50,72,72,443,675,19,2024
31398,O,95,95,95,Oz,412,679,19,2024
31399,O,307,380,380,267,Oz,Oz,19,2024
31401,220,337,220,220,220,O,722,19,2024
31402,228,228,227,227,227,527,O,19,2024
31406,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31407,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31408,O,227,209,189,188,516,693,19,2024
31409,50,229,228,228,190,O,654,19,2024
31412,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31413,213,213,213,233,231,484,O,19,2024
31415,289,289,289,289,289,587,O,19,2024
31416,93,O,19,26,22,878,884,19,2024
31417,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31418,223,223,223,223,223,O,726,19,2024
31419,20,20,67,20,21,O,650,19,2024
31424,O,72,72,77,77,O,448,19,2024
31425,212,212,212,212,212,O,697,19,2024
31428,55,10,12,102,O,502,658,19,2024
31429,O,96,130,O,130,O,661,19,2024
31430,283,304,304,283,283,O,703,19,2024
31431,15,15,15,14,14,406,O,19,2024
31432,51,51,51,33,99,O,635,19,2024
31433,384,384,O,372,384,385,385,19,2024
31437,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31438,205,205,205,205,I-DK,O,O,19,2024
31440,335,335,335,335,335,605,O,19,2024
31441,139,139,139,139,139,O,O,19,2024
31442,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
31443,77,77,77,O,85,453,671,19,2024
31447,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31448,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31449,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31451,178,177,177,224,224,511,O,19,2024
31452,I-GO,I-GO,I-GO,310,181,496,709,19,2024
31453,I-BP,I-BP,I-BP,I-BP,I-BP,O,O,19,2024
31454,53,58,39,79,58,Oz,Oz,19,2024
31455,394,394,394,394,394,Oz,Oz,19,2024
31457,393,393,393,393,393,Oz,Oz,19,2024
31458,134,162,134,134,134,O,O,19,2024
31459,337,192,Oz,Oz,320,575,706,19,2024
31461,12,12,10,O,101,440,O,19,2024
31462,166,194,179,179,185,Oz,Oz,19,2024
31463,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31465,180,180,180,180,180,O,702,19,2024
31466,71,130,Oz,39,39,419,Oz,19,2024
31467,140,140,140,140,140,O,O,19,2024
31468,135,135,135,135,135,O,O,19,2024
31469,341,264,316,334,O,798,688,19,2024
31470,I-GO,I-GO,I-GO,307,311,572,805,19,2024
31471,279,284,279,281,281,571,O,19,2024
31472,232,233,232,237,237,536,O,19,2024
31473,I-GO,I-GO,I-GO,I-GO,I-GO,566,760,19,2024
31474,391,391,391,391,391,Oz,Oz,19,2024
31475,170,235,233,O,98,403,O,19,2024
31476,226,242,189,230,230,517,O,19,2024
31478,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31479,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31480,75,75,75,75,75,O,O,19,2024
31481,I-GO,I-GO,I-GO,I-GO,O,427,666,19,2024
31482,278,278,O,278,278,492,O,19,2024
31483,159,159,159,159,O,519,692,19,2024
31484,221,123,31,123,116,Oz,Oz,19,2024
31490,I-GO,230,246,338,264,522,O,19,2024
31495,248,199,Oz,217,226,512,687,19,2024
31496,191,Oz,132,226,166,505,O,19,2024
31497,396,396,396,396,396,Oz,Oz,19,2024
31498,I-DK,115,300,162,162,477,O,19,2024
31499,329,329,Oz,880,880,879,O,19,2024
31514,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31516,176,176,Oz,176,232,487,699,19,2024
31517,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
31518,230,166,123,163,159,192,O,19,2024
31519,57,O,378,103,124,446,O,19,2024
31520,271,271,271,271,271,O,O,19,2024
31521,392,392,392,392,392,Oz,Oz,19,2024
31524,129,129,129,129,129,Oz,O,19,2024
31525,171,879,879,O,O,534,799,19,2024
31617,186,186,186,186,186,Oz,707,19,2024
32040,13,O,O,99,12,432,646,19,2024
32041,O,310,230,182,248,503,690,19,2024
32064,239,239,Oz,239,239,529,O,19,2024
32065,246,246,299,183,246,473,O,19,2024
32067,225,173,176,O,176,509,715,19,2024
32068,I-GO,I-GO,242,246,216,494,670,19,2024
32207,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
32208,204,204,204,O,204,498,O,19,2024
32209,240,240,170,170,170,482,O,19,2024
32211,299,880,216,300,O,467,655,19,2024
32212,332,170,169,167,167,O,800,19,2024
32213,235,234,237,235,169,486,O,19,2024
32214,237,237,Oz,232,235,O,O,19,2024
32215,177,248,115,116,20,489,Oz,19,2024
32216,227,232,329,879,I-DK,O,O,19,2024
3738824,136,136,136,136,136,O,652,19,2024
3787850,179,179,O,242,I-DK,Oz,Oz,19,2024
41026,189,188,185,185,192,480,O,19,2024
41089,334,O,278,316,337,600,761,19,2024
41091,11,O,42,54,877,414,886,19,2024
41095,174,174,174,174,174,488,O,19,2024
41102,138,138,138,138,138,O,O,19,2024
41300,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
41306,117,117,117,117,117,O,O,19,2024
41309,216,182,192,250,178,Oz,O,19,2024
41311,197,191,164,164,201,Oz,716,19,2024
41313,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
41316,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
41318,137,137,137,137,137,O,O,19,2024
41319,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
41322,61,61,99,71,71,423,O,19,2024
41324,185,201,190,190,242,538,O,19,2024
41331,102,71,71,O,102,454,651,19,2024
41339,340,345,345,345,O,586,755,19,2024
41340,O,1,4,4,4,431,711,19,2024
41343,265,333,281,267,O,402,672,19,2024
41358,I-GO,I-GO,I-GO,I-GO,I-GO,Og,Og,19,2024
41377,276,276,264,264,316,561,O,19,2024
54198,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
54545,92,877,63,877,91,460,Oz,19,2024
56179,242,O,194,194,215,508,O,19,2024
68397,Oz,167,167,168,168,Oz,Oz,19,2024
68724,I-BO,I-BO,I-BO,I-BO,I-BO,Ob,Ob,19,2024
